,Date,Open,High,Low,Close,Volume,Adj Close
0,2018年9月12日,5290,5340,5260,5310,252400,5310
1,2018年9月11日,5220,5300,5210,5280,200900,5280
2,2018年9月10日,5180,5250,5180,5220,169400,5220
3,2018年9月7日,5170,5230,5170,5210,197500,5210
4,2018年9月6日,5270,5280,5210,5210,189200,5210
5,2018年9月5日,5290,5340,5280,5290,259800,5290
6,2018年9月4日,5260,5310,5230,5280,235200,5280
7,2018年9月3日,5250,5290,5240,5270,198500,5270
8,2018年8月31日,5280,5340,5260,5280,287700,5280
9,2018年8月30日,5270,5310,5230,5270,277600,5270
10,2018年8月29日,5150,5250,5150,5220,169400,5220
11,2018年8月28日,5180,5210,5140,5150,187400,5150
12,2018年8月27日,5090,5160,5080,5150,116300,5150
13,2018年8月24日,4975,5100,4975,5070,162300,5070
14,2018年8月23日,4955,5010,4950,4970,124000,4970
15,2018年8月22日,4930,4940,4900,4930,177900,4930
16,2018年8月21日,4905,4955,4885,4945,111400,4945
17,2018年8月20日,4915,4950,4875,4895,202700,4895
18,2018年8月17日,4920,4925,4865,4910,297900,4910
19,2018年8月16日,4980,5030,4920,4940,299000,4940
0,2018年8月15日,5060,5080,4995,5020,195000,5020
1,2018年8月14日,5040,5100,5010,5080,232600,5080
2,2018年8月13日,5150,5150,5030,5050,204800,5050
3,2018年8月10日,5230,5240,5160,5170,132900,5170
4,2018年8月9日,5250,5310,5220,5240,114100,5240
5,2018年8月8日,5310,5320,5240,5240,148200,5240
6,2018年8月7日,5230,5280,5190,5270,137700,5270
7,2018年8月6日,5250,5310,5190,5210,152600,5210
8,2018年8月3日,5360,5360,5190,5220,152400,5220
9,2018年8月2日,5260,5410,5260,5310,305800,5310
10,2018年8月1日,5150,5250,5150,5230,314300,5230
11,2018年7月31日,5390,5480,5200,5280,686500,5280
12,2018年7月30日,5100,5120,5010,5040,202600,5040
13,2018年7月27日,5140,5170,5070,5170,239700,5170
14,2018年7月26日,5020,5160,4990,5140,279600,5140
15,2018年7月25日,5050,5050,5000,5020,227600,5020
16,2018年7月24日,5170,5180,5050,5080,237000,5080
17,2018年7月23日,5200,5240,5170,5170,130800,5170
18,2018年7月20日,5200,5200,5150,5190,125200,5190
19,2018年7月19日,5220,5250,5180,5210,145200,5210
0,2018年7月18日,5260,5260,5120,5220,221500,5220
1,2018年7月17日,5150,5270,5140,5260,163000,5260
2,2018年7月13日,5090,5150,5060,5130,139500,5130
3,2018年7月12日,4985,5130,4985,5080,217800,5080
4,2018年7月11日,4860,4985,4810,4955,581900,4955
5,2018年7月10日,5170,5170,5000,5010,225700,5010
6,2018年7月9日,5080,5180,5060,5160,128700,5160
7,2018年7月6日,5070,5090,5020,5040,275400,5040
8,2018年7月5日,5170,5200,5070,5090,191300,5090
9,2018年7月4日,5020,5220,5020,5170,236600,5170
10,2018年7月3日,5020,5060,4985,5050,226800,5050
11,2018年7月2日,5160,5200,5030,5050,267600,5050
12,2018年6月29日,5160,5170,5040,5150,280000,5150
13,2018年6月28日,5240,5250,5070,5090,503600,5090
14,2018年6月27日,5220,5280,5200,5250,258300,5250
15,2018年6月26日,5150,5200,5090,5200,202900,5200
16,2018年6月25日,5290,5290,5180,5210,213600,5210
17,2018年6月22日,5120,5220,5110,5210,295700,5210
18,2018年6月21日,5230,5250,5060,5100,404300,5100
19,2018年6月20日,5300,5310,5200,5240,316800,5240
0,2018年6月19日,5410,5410,5280,5330,352100,5330
1,2018年6月18日,5370,5430,5340,5410,195300,5410
2,2018年6月15日,5280,5380,5280,5370,174200,5370
3,2018年6月14日,5330,5370,5300,5310,223700,5310
4,2018年6月13日,5300,5380,5270,5340,237000,5340
5,2018年6月12日,5390,5400,5330,5360,241600,5360
6,2018年6月11日,5350,5380,5310,5360,210900,5360
7,2018年6月8日,5280,5380,5280,5350,260400,5350
8,2018年6月7日,5330,5360,5230,5260,260100,5260
9,2018年6月6日,5220,5320,5190,5290,364400,5290
10,2018年6月5日,5090,5180,5080,5180,174700,5180
11,2018年6月4日,5050,5100,5010,5050,269400,5050
12,2018年6月1日,5040,5090,5020,5070,308700,5070
13,2018年5月31日,4930,5020,4885,5000,424600,5000
14,2018年5月30日,4935,4965,4895,4910,220900,4910
15,2018年5月29日,4960,5000,4925,4990,180900,4990
16,2018年5月28日,4965,5010,4950,4960,125400,4960
17,2018年5月25日,4935,4970,4925,4945,327100,4945
